,title,artist,release,metascore,userscore
10023,Layers,"by Royce da 5'9""","April 15, 2016",77,8.1
10024,What Does It All Mean? 1983-2006 Retrospective,by Steinski,"May 27, 2008",86,8.1
10025,W.A.R. (We Are Renegades),by Pharoahe Monch,"March 22, 2011",77,8.1
10026,Genesis,by Busta Rhymes,"November 13, 2001",77,8.1
10027,Murs For President,by Murs,"September 30, 2008",74,8.1
10028,Freebase [EP],by 2 Chainz,"May 5, 2014",75,8.1
10029,2000 BC,by Canibus,"July 18, 2000",60,8.1
10030,Revolutions Per Minute,by Reflection Eternal,"May 18, 2010",80,8.1
10031,Hoodies All Summer,by Kano,"August 30, 2019",79,8.1
10032,Mysterious Phonk: The Chronicles of Spaceghostpurrp,by SpaceGhostPurrp,"June 12, 2012",69,8.1
10033,P2,by Dave East,"January 16, 2018",83,8.1
10034,Soft Money,by Jel,"February 28, 2006",67,8.1
10035,This Is Our Science,by Astronautalis,"September 13, 2011",85,8.1
10036,RetroHash,by Asher Roth,"April 22, 2014",63,8.1
10037,Chamber Music,by Wu-Tang Clan,"June 30, 2009",75,8.1
10038,Give Me My Flowers While I Can Still Smell Them,by Blu & Exile,"September 4, 2012",76,8.1
10039,Black Focus,by Yussef Kamaal,"November 11, 2016",82,8.1
10040,The In Crowd,by Kidz in the Hall,"May 13, 2008",73,8.1
10041,"Maybach Music Group Presents: Self Made, Vol. 1",by Maybach Music,"May 23, 2011",63,8.1
10042,Lip Lock,by Eve,"May 14, 2013",62,8.1
10043,Who Told You To Think?,by Milo,"August 11, 2017",84,8.1
10044,Astroworld,by Travis Scott,"August 3, 2018",85,8.0
10045,Take Care,by Drake,"November 15, 2011",78,8.0
10046,Psychodrama,by Dave,"March 8, 2019",90,8.0
10047,ZUU,by Denzel Curry,"May 31, 2019",85,8.0
10048,FM!,by Vince Staples,"November 2, 2018",81,8.0
10049,I Am > I Was,by 21 Savage,"December 21, 2018",81,8.0
10050,The Documentary 2.5,by The Game,"October 16, 2015",79,8.0
10051,UNLOCKED,by Denzel Curry,"February 7, 2020",81,8.0
10052,Ratchet,by Shamir,"May 19, 2015",80,8.0
10053,Confessions,by Usher,"March 23, 2004",71,8.0
10054,Who Needs Actions When You Got Words,by Plan B,"June 26, 2006",74,8.0
10055,Revenge of the Dreamers III,by Dreamville,"July 5, 2019",77,8.0
10056,Injury Reserve,by Injury Reserve,"May 17, 2019",75,8.0
10057,Neō Wax Bloom,by Iglooghost,"September 29, 2017",83,8.0
10058,Limbo,by Aminé,"August 7, 2020",75,8.0
10059,Till Death Do Us Part,by Cypress Hill,"March 23, 2004",62,8.0
10060,TWENTY88 [EP],by Twenty88,"April 1, 2016",72,8.0
10061,The Don of Diamond Dreams,by Shabazz Palaces,"April 17, 2020",77,8.0
10062,Rare Chandeliers [Mixtape],by Action Bronson,"November 15, 2012",74,8.0
10063,The  Diary,by J Dilla,"April 15, 2016",73,8.0
10064,The Family Sign,by Atmosphere,"April 12, 2011",73,8.0
10065,At What Cost,by GoldLink,"March 24, 2017",71,8.0
10066,Good Luck and Do Your Best,by Gold Panda,"May 27, 2016",79,8.0
10067,Strength & Loyalty,by Bone Thugs-N-Harmony,"May 8, 2007",74,8.0
10068,How You Sell Soul to a Soulless People Who Sold Their Soul?,by Public Enemy,"August 7, 2007",71,8.0
10069,The Hard Way,by 213,"August 17, 2004",56,8.0
10070,Adrian Younge Presents: Twelve Reasons to Die II,by Ghostface Killah,"July 10, 2015",72,8.0
10071,1988,by Blueprint,"March 29, 2005",83,8.0
10072,Weekend at Burnie's,by Curren$y,"June 28, 2011",77,8.0
10073,Golden Ticket,by Golden Rules,"August 7, 2015",82,8.0
10074,Felt 3: A Tribute To Rosie Perez,by Felt,"November 17, 2009",79,8.0
10075,"Streams of Thought, Vol. 1 [EP]",by Black Thought,"June 1, 2018",81,8.0
10076,Roadkill Overcoat,by Busdriver,"January 30, 2007",68,8.0
10077,What You Gonna Do When the Grid Goes Down?,by Public Enemy,"September 25, 2020",75,8.0
10078,Lucky 7,by Statik Selektah,"July 10, 2015",69,8.0
10079,Everything Is Beautiful,by Princess Nokia,"February 26, 2020",75,8.0
10080,Love & Hate,by Aceyalone,"June 3, 2003",66,8.0
10081,Automato,by Automato,"April 20, 2004",74,8.0
10082,In Search Of Stoney Jackson,by Strong Arm Steady,"January 27, 2010",75,8.0
10083,Ohnomite,by Oh No,"June 5, 2012",81,8.0
10084,By Any Means [Mixtape],by Kevin Gates,"March 18, 2014",77,8.0
10085,None of Us Are Getting out of This Life Alive,by The Streets,"July 10, 2020",73,8.0
10086,The Electric Mile,by G Love & Special Sauce,"April 24, 2001",70,8.0
10087,I Love You,by Amanda Blank,"August 4, 2009",59,8.0
10088,Winter & the Wolves,by Grieves,"March 25, 2014",58,8.0
10089,A Grand Don't Come For Free,by The Streets,"May 18, 2004",91,7.9
10090,Iridescence,by BROCKHAMPTON,"September 21, 2018",85,7.9
10091,Black Panther: The Album,by Original Soundtrack,"February 9, 2018",80,7.9
10092,Ginger,by BROCKHAMPTON,"August 23, 2019",75,7.9
10093,Oxnard,by Anderson .Paak,"November 16, 2018",73,7.9
10094,Idlewild,by Outkast,"August 22, 2006",72,7.9
10095,Do What Thou Wilt.,by Ab-Soul,"December 9, 2016",64,7.9
10096,Modus Vivendi,by 070 Shake,"January 17, 2020",80,7.9
10097,3001: A Laced Odyssey,by Flatbush Zombies,"March 11, 2016",80,7.9
10098,The Tipping Point,by The Roots,"July 13, 2004",72,7.9
10099,New Danger,by Mos Def,"October 12, 2004",59,7.9
10100,Meow the Jewels,by Run the Jewels,"September 25, 2015",74,7.9
10101,The Red Light District,by Ludacris,"December 7, 2004",70,7.9
10102,There Existed an Addiction to Blood,by clipping.,"October 18, 2019",73,7.9
10103,Freddie [Mixtape],by Freddie Gibbs,"June 22, 2018",84,7.9
10104,13 & God,by 13 & God,"May 3, 2005",80,7.9
10105,The Iceberg,by Oddisee,"February 24, 2017",82,7.9
10106,Nightmare Vacation,by Rico Nasty,"December 4, 2020",80,7.9
10107,The Neptunes Present... Clones,by The Neptunes,"August 19, 2003",73,7.9
10108,Charity Starts at Home,by Phonte,"September 27, 2011",88,7.9
10109,The Defamation Of Strickland Banks,by Plan B,"April 19, 2011",75,7.9
10110,Mirrorland,by EarthGang,"September 6, 2019",77,7.9
10111,Well-Done,by Statik Selektah,"November 22, 2011",79,7.9
10112,Man Vs Machine,by Xzibit,"October 1, 2002",59,7.9
10113,Perfect Hair,by Busdriver,"September 9, 2014",74,7.9
10114,"Love, War And The Ghost Of Whitey Ford",by Everlast,"September 23, 2008",64,7.9
10115,Extended Play,by Statik Selektah,"June 18, 2013",83,7.9
10116,Situation,by Buck 65,"October 30, 2007",68,7.9
10117,Leave It All Behind,by The Foreign Exchange,"October 14, 2008",82,7.9
10118,The Take Over,by Zion I,"January 27, 2009",58,7.9
10119,The Audience's Listening,by Cut Chemist,"July 11, 2006",79,7.9
10120,"Anime, Trauma and Divorce",by Open Mike Eagle,"October 16, 2020",82,7.9
10121,Queen,by Nicki Minaj,"August 10, 2018",70,7.8
10122,808s & Heartbreak,by Kanye West,"November 25, 2008",75,7.8
10123,Camp,by Childish Gambino,"November 15, 2011",69,7.8
10124,Konnichiwa,by Skepta,"May 6, 2016",83,7.8
10125,Beautiful Thugger Girls,by Young Thug,"June 16, 2017",84,7.8
10126,Legends Never Die,by Juice WRLD,"July 10, 2020",75,7.8
10127,So Much Fun,by Young Thug,"August 16, 2019",79,7.8
10128,Playboi Carti [Mixtape],by Playboi Carti,"April 14, 2017",69,7.8
10129,L.A.X.,by The Game,"August 26, 2008",65,7.8
10130,Beg For Mercy,by G-Unit,"November 14, 2003",62,7.8
10131,Sour Soul,by Ghostface Killah,"February 24, 2015",76,7.8
10132,The Hunger For More,by Lloyd Banks,"June 29, 2004",66,7.8
10133,"The OF Tape, Vol. 2",by Odd Future,"March 20, 2012",71,7.8
10134,Summer Knights [Mixtape],by Joey Bada$$,"July 1, 2013",66,7.8
10135,...And Then You Shoot Your Cousin,by The Roots,"May 19, 2014",70,7.8
10136,Fear of God II: Let Us Pray [EP],by Pusha T,"November 8, 2011",69,7.8
10137,You Only Live 2wice,by Freddie Gibbs,"March 31, 2017",76,7.8
10138,Dead,by Young Fathers,"February 4, 2014",83,7.8
10139,Big Baby D.R.A.M.,by D.R.A.M.,"October 21, 2016",80,7.8
10140,The Great Gatsby [Music from Baz Luhrmann's Film],by Various Artists,"May 7, 2013",63,7.8
10141,Stranger,by Yung Lean,"November 10, 2017",63,7.8
10142,"Cozy Tapes, Vol. 1: Friends",by A$AP Mob,"October 31, 2016",78,7.8
10143,Disc-Overy,by Tinie Tempah,"May 17, 2011",72,7.8
10144,Success Is Certain,"by Royce da 5'9""","August 9, 2011",82,7.8
10145,VII,by Teyana Taylor,"November 4, 2014",77,7.8
10146,Anger Management,by Rico Nasty,"April 25, 2019",79,7.8
10147,Relax,by Das Racist,"September 13, 2011",78,7.8
10148,Good Things,by Aloe Blacc,"September 28, 2010",82,7.8
10149,The Good Fight,by Oddisee,"May 5, 2015",80,7.8
10150,Southsiders,by Atmosphere,"May 6, 2014",70,7.8
10151,The Craft,by Blackalicious,"September 27, 2005",80,7.8
10152,Wu-Massacre,by Meth-Ghost-Rae,"March 30, 2010",73,7.8
10153,Mourning in America and Dreaming in Color,by Brother Ali,"September 18, 2012",80,7.8
10154,Extinction Level Event 2: The Wrath of God,by Busta Rhymes,"October 30, 2020",71,7.8
10155,Surrounded By Silence,by Prefuse 73,"March 22, 2005",73,7.8
10156,Human The Death Dance,by Sage Francis,"May 8, 2007",77,7.8
10157,Feel Good,by The Internet,"September 24, 2013",69,7.8
10158,The Return,by Sampa the Great,"September 13, 2019",83,7.8
10159,Numbers,by MellowHype,"October 9, 2012",73,7.8
10160,Moosebumps: An Exploration Into Modern Day Horripilation,by Dr. Octagon,"April 6, 2018",77,7.8
10161,Effected,by Cozz,"February 13, 2018",76,7.8
10162,A Girl Cried Red [Mixtape],by Princess Nokia,"April 13, 2018",61,7.8
10163,The eXXecution,by Marco Polo & Ruste Juxx,"March 23, 2010",85,7.8
10164,NoYork!,by Blu,"March 26, 2013",78,7.8
10165,A Tiger Dancing,by Heiruspecs,"September 28, 2004",78,7.8
10166,Vodka & Ayahuasca,by Gangrene,"January 24, 2012",76,7.8
10167,Raw Money Raps,by Jeremiah Jae,"July 24, 2012",79,7.8
10168,The Man with the Iron Fists [OST],by RZA,"October 23, 2012",77,7.8
10169,No Hard Feelings,by Dreezy,"July 22, 2016",73,7.8
10170,"Chill, Dummy",by P.O.S,"January 27, 2017",83,7.8
10171,Born 2 Rap,by The Game,"November 29, 2019",82,7.8
10172,Burden of Proof,by Benny the Butcher,"October 16, 2020",82,7.8
10173,Greatest Story Ever Told,by David Banner,"July 15, 2008",57,7.8
10174,GhostDeini The Great,by Ghostface Killah,"December 16, 2008",62,7.8
10175,Pray IV Reign,by Jim Jones,"March 24, 2009",62,7.8
10176,awE naturalE,by THEESatisfaction,"March 27, 2012",75,7.8
10177,All Hands,by Doomtree,"January 27, 2015",62,7.8
10178,The Life Of Pablo,by Kanye West,"February 13, 2016",75,7.7
10179,Watch the Throne,by Kanye West,"August 12, 2011",76,7.7
10180,If You're Reading This It's Too Late [Mixtape],by Drake,"February 13, 2015",78,7.7
10181,Circles,by Mac Miller,"January 17, 2020",83,7.7
10182,Nasir,by Nas,"June 15, 2018",58,7.7
10183,Long.Live.A$AP,by A$AP Rocky,"January 15, 2013",75,7.7
10184,Birds In The Trap Sing McKnight,by Travis Scott,"September 2, 2016",64,7.7
10185,So Far Gone [Mixtape],by Drake,"February 13, 2009",81,7.7
10186,Slay-Z [Mixtape],by Azealia Banks,"March 24, 2016",75,7.7
10187,Championships,by Meek Mill,"November 30, 2018",77,7.7
10188,PRhyme,by PRhyme,"December 9, 2014",84,7.7
10189,Heavy is the Head,by Stormzy,"December 13, 2019",82,7.7
10190,Strange Clouds,by B.o.B,"May 1, 2012",65,7.7
10191,Lost And Found,by Will Smith,"March 29, 2005",50,7.7
10192,Nobody's Smiling,by Common,"July 22, 2014",78,7.7
10193,The Lady Killer,by Cee Lo Green,"November 9, 2010",80,7.7
10194,The Album About Nothing,by Wale,"March 31, 2015",67,7.7
10195,Everybody Looking,by Gucci Mane,"July 22, 2016",72,7.7
10196,Savage Mode II,by 21 Savage,"October 2, 2020",81,7.7
10197,Slime Season 2 [Mixtape],by Young Thug,"October 31, 2015",81,7.7
10198,"Come Over When You’re Sober, Pt. 2",by Lil Peep,"November 9, 2018",79,7.7
10199,Straight Outta Ca$hville,by Young Buck,"August 24, 2004",72,7.7
10200,Czarface Meets Metal Face,by Czarface/MF Doom,"March 30, 2018",75,7.7
10201,"Laugh Now, Cry Later",by Ice Cube,"June 6, 2006",59,7.7
10202,Beast Mode [Mixtape],by Future,"January 15, 2015",81,7.7
10203,The State vs. Radric Davis,by Gucci Mane,"December 8, 2009",66,7.7
10204,The Grind Date,by De La Soul,"October 5, 2004",80,7.7
10205,The Beautiful Struggle,by Talib Kweli,"September 28, 2004",66,7.7
10206,Pieces of a Man,by Mick Jenkins,"October 26, 2018",77,7.7
10207,Fishing Blues,by Atmosphere,"August 12, 2016",71,7.7
10208,TM:103 Hustlerz Ambition,by Young Jeezy,"December 20, 2011",70,7.7
10209,What Goes Around,by Statik Selektah,"August 19, 2014",84,7.7
10210,Hella Personal Film Festival,by Open Mike Eagle,"March 25, 2016",79,7.7
10211,Dime Trap,by T.I.,"October 5, 2018",81,7.7
10212,The Last Temptation,by Ja Rule,"November 19, 2002",57,7.7
10213,Gutter Rainbows,by Talib Kweli,"January 25, 2011",71,7.7
10214,The Great Depression,by DMX,"October 23, 2001",62,7.7
10215,Abandoned Language,by Dälek,"February 27, 2007",76,7.7
10216,Remember My Name,by Lil Durk,"June 2, 2015",61,7.7
10217,20/20,by Dilated Peoples,"February 21, 2006",63,7.7
10218,Last 2 Walk,by Three 6 Mafia,"June 24, 2008",56,7.7
10219,The Music Scene,by Blockhead,"January 12, 2010",75,7.7
10220,Cats & Dogs,by Evidence,"September 27, 2011",79,7.7
10221,Harlan & Alondra,by Buddy,"July 20, 2018",83,7.7
10222,A Little Deeper,by Ms. Dynamite,"March 11, 2003",80,7.7
10223,More Heart Than Brains,by Bike For Three!,"May 26, 2009",82,7.7
10224,Return Of The Wu & Friends,by Wu-Tang Clan,"February 16, 2010",68,7.7
10225,Have a Nice Life,by Murs,"May 19, 2015",75,7.7
10226,Nothing Is Quick In The Desert,by Public Enemy,"June 30, 2017",71,7.7
10227,Yeezus,by Kanye West,"June 18, 2013",84,7.6
10228,Nothing Was the Same,by Drake,"September 24, 2013",79,7.6
10229,KOD,by J. Cole,"April 20, 2018",73,7.6
10230,Eminem Presents: The Re-Up,by Eminem,"December 5, 2006",50,7.6
10231,Hollywood's Bleeding,by Post Malone,"September 6, 2019",79,7.6
10232,Cuz I Love You,by Lizzo,"April 19, 2019",84,7.6
10233,Cole World: The Sideline Story,by J. Cole,"September 27, 2011",75,7.6
10234,The  Heist,by Ryan Lewis,"October 9, 2012",74,7.6
10235,90059,by Jay Rock,"September 11, 2015",79,7.6
10236,Cruel Summer,by Various Artists,"September 18, 2012",68,7.6
10237,Bush,by Snoop Dogg,"May 12, 2015",69,7.6
10238,The Documentary 2,by The Game,"October 9, 2015",75,7.6
10239,To The 5 Boroughs,by Beastie Boys,"June 15, 2004",71,7.6
10240,Vicious Lies and Dangerous Rumors,by Big Boi,"December 11, 2012",72,7.6
10241,Suga [EP],by Megan Thee Stallion,"March 6, 2020",77,7.6
10242,Amen,by Rich Brian,"February 2, 2018",68,7.6
10243,And the Anonymous Nobody,by De La Soul,"August 26, 2016",77,7.6
10244,Big Conspiracy,by J Hus,"January 24, 2020",86,7.6
10245,Shaolin vs. Wu-Tang,by Raekwon,"March 8, 2011",73,7.6
10246,The Wild,by Raekwon,"March 24, 2017",80,7.6
10247,Dear Annie,by Rejjie Snow,"February 16, 2018",79,7.6
10248,God's Father [Mixtape],by Lil B,"March 7, 2012",75,7.6
10249,Cellar Door: Terminus Ut Exordium,by The Underachievers,"August 12, 2014",76,7.6
10250,No Poison No Paradise,by Black Milk,"October 15, 2013",78,7.6
10251,K.R.I.T. IZ HERE,by Big K.R.I.T.,"July 12, 2019",69,7.6
10252,Breakfast,by Chiddy Bang,"February 28, 2012",67,7.6
10253,Neva Left,by Snoop Dogg,"May 19, 2017",71,7.6
10254,Top 5 Dead or Alive,by Jadakiss,"November 20, 2015",73,7.6
10255,Secret House Against The World,by Buck 65,"August 1, 2005",71,7.6
10256,Record Collection,by Mark Ronson and the Business Intl,"September 28, 2010",70,7.6
10257,Legendary Weapons,by Wu-Tang Clan,"July 26, 2011",61,7.6
10258,PRhyme 2,by PRhyme,"March 16, 2018",74,7.6
10259,7 Days of Funk,by 7 Days of Funk,"December 10, 2013",74,7.6
10260,MartyrLoserKing,by Saul Williams,"January 29, 2016",78,7.6
10261,PL3DGE,by Killer Mike,"May 17, 2011",75,7.6
10262,When Fish Ride Bicycles,by The Cool Kids,"July 12, 2011",75,7.6
10263,Violence Begets Violence,by Jedi Mind Tricks,"October 31, 2011",59,7.6
10264,Fool,by Jameszoo,"May 13, 2016",80,7.6
10265,Fireplace: TheNotTheOtherSide,by Hodgy,"December 23, 2016",69,7.6
10266,From King to a God,by Conway the Machine,"September 11, 2020",82,7.6
10267,Wooden Leather,by Nappy Roots,"August 26, 2003",79,7.6
10268,Shock City Maverick,by Beans,"October 19, 2004",65,7.6
10269,Fear Of A Black Tangent,by Busdriver,"February 22, 2005",78,7.6
10270,Fallen House Sunken City,by B. Dolan,"March 2, 2010",81,7.6
10271,Repent Replenish Repeat,by dan le sac Vs Scroobius Pip,"October 29, 2013",66,7.6
10272,Encore,by Eminem,"November 12, 2004",64,7.5
10273,4 Your Eyez Only,by J. Cole,"December 9, 2016",75,7.5
10274,DS2,by Future,"July 17, 2015",80,7.5
10275,Mr. Wonderful,by Action Bronson,"March 24, 2015",77,7.5
10276,A Written Testimony,by Jay Electronica,"March 13, 2020",83,7.5
10277,Free TC,by Ty Dolla $ign,"November 13, 2015",76,7.5
10278,Fly Or Die,by N.E.R.D,"March 23, 2004",68,7.5
10279,Deeper Than Rap,by Rick Ross,"April 21, 2009",73,7.5
10280,The Healing Component,by Mick Jenkins,"September 23, 2016",79,7.5
10281,The Autobiography,by Vic Mensa,"July 28, 2017",71,7.5
10282,Dirty Gold,by Angel Haze,"December 30, 2013",66,7.5
10283,Seen It All: The Autobiography,by Jeezy,"September 2, 2014",70,7.5
10284,The  Chief,by Jidenna,"February 17, 2017",73,7.5
10285,Kiss Of Death,by Jadakiss,"June 22, 2004",76,7.5
10286,Anything but Words,by Banks & Steelz,"August 26, 2016",72,7.5
10287,The Circus [EP],by Mick Jenkins,"January 10, 2020",78,7.5
10288,Blue Chips 7000,by Action Bronson,"August 25, 2017",76,7.5
10289,Tongue N' Cheek,by Dizzee Rascal,"September 21, 2009",75,7.5
10290,Malpractice,by Redman,"May 22, 2001",59,7.5
10291,Quazarz: Born on a Gangster Star,by Shabazz Palaces,"July 14, 2017",77,7.5
10292,Black Dialogue,by The Perceptionists,"March 22, 2005",81,7.5
10293,EarthEE,by THEESatisfaction,"February 24, 2015",79,7.5
10294,Young Miss America,by Gold Chains,"June 3, 2003",72,7.5
10295,MellowHigh,by MellowHigh,"October 31, 2013",65,7.5
10296,4:44,by Jay-Z,"June 30, 2017",82,7.4
10297,Testing,by A$AP Rocky,"May 25, 2018",67,7.4
10298,Cannibal,by Ke$ha,"November 22, 2010",73,7.4
10299,Double Dutchess,by Fergie,"September 22, 2017",53,7.4
10300,C U L T U R E,by Migos,"January 27, 2017",79,7.4
10301,FWA (Free Weezy Album),by Lil Wayne,"July 4, 2015",61,7.4
10302,Jesus Piece,by Game,"December 11, 2012",66,7.4
10303,Gang Signs & Prayer,by Stormzy,"February 24, 2017",82,7.4
10304,The Naked Truth,by Lil' Kim,"September 27, 2005",66,7.4
10305,The  Dreamer/The Believer,by Common,"December 20, 2011",74,7.4
10306,Tha Blue Carpet Treatment,by Snoop Dogg,"November 21, 2006",70,7.4
10307,The Mix-Up,by Beastie Boys,"June 26, 2007",61,7.4
10308,Collegrove,by 2 Chainz,"March 4, 2016",66,7.4
10309,Ego Trippin',by Snoop Dogg,"March 11, 2008",71,7.4
10310,High Off Life,by Future,"May 15, 2020",70,7.4
10311,Elephants on Acid,by Cypress Hill,"September 28, 2018",75,7.4
10312,Weapons Of Mass Destruction,by Xzibit,"December 14, 2004",57,7.4
10313,Young Adults Against Suicide,by Ninja High School,"October 18, 2005",59,7.4
10314,Event II,by Deltron 3030,"September 30, 2013",74,7.4
10315,New Toronto 3 [Mixtape],by Tory Lanez,"April 10, 2020",79,7.4
10316,The Return Of Dr. Octagon,by Dr. Octagon,"June 27, 2006",61,7.4
10317,IV Play,by The-Dream,"May 28, 2013",62,7.4
10318,Lord Steppington,by Step Brothers,"January 21, 2014",79,7.4
10319,Kamikaze,by Twista,"January 27, 2004",66,7.4
10320,Blaqkout,by DJ Quik & Kurupt,"June 9, 2009",83,7.4
10321,Rule 3:36,by Ja Rule,"October 3, 2000",56,7.4
10322,Gravitas,by Talib Kweli,"February 18, 2014",73,7.4
10323,The Ecleftic 2 Sides II a Book,by Wyclef Jean,"August 22, 2000",67,7.4
10324,Deep Down & Dirty,by Stereo MC's,"June 12, 2001",68,7.4
10325,Eleventh Hour,by Del the Funky Homosapien,"March 11, 2008",69,7.4
10326,Come to Life,by Cities Aviv,"January 28, 2014",78,7.4
10327,Pink Friday: Roman Reloaded--the Re-Up,by Nicki Minaj,"November 19, 2012",72,7.3
10328,Government Plates,by Death Grips,"November 13, 2013",75,7.3
10329,The Adventures Of Bobby Ray,by B.o.B,"April 27, 2010",67,7.3
10330,Always Strive and Prosper,by A$AP Ferg,"April 22, 2016",74,7.3
10331,Black America Again,by Common,"November 4, 2016",88,7.3
10332,In My Mind,by Pharrell Williams,"July 25, 2006",52,7.3
10333,Rap Or Go To The League,by 2 Chainz,"March 1, 2019",82,7.3
10334,Fashion Week,by Death Grips,"January 4, 2015",74,7.3
10335,R&G (Rhythm & Gangsta): The Masterpiece,by Snoop Dogg,"November 16, 2004",63,7.3
10336,Release Therapy,by Ludacris,"September 26, 2006",60,7.3
10337,Majid Jordan,by Majid Jordan,"February 5, 2016",69,7.3
10338,Every Hero Needs a Villain,by Czarface,"June 16, 2015",79,7.3
10339,BOOMIVERSE,by Big Boi,"June 16, 2017",70,7.3
10340,Blood Money,by Mobb Deep,"May 2, 2006",55,7.3
10341,Wake Up!,by The Roots,"September 21, 2010",77,7.3
10342,DropTopWop [Mixtape],by Gucci Mane,"May 26, 2017",72,7.3
10343,Rolling Papers 2,by Wiz Khalifa,"July 13, 2018",56,7.3
10344,Pilot Talk III,by Curren$y,"April 4, 2015",78,7.3
10345,Tha Last Meal,by Snoop Dogg,"December 19, 2000",65,7.3
10346,Lizzobangers,by Lizzo,"October 15, 2013",85,7.3
10347,ARIZONA BABY,by Kevin Abstract,"April 25, 2019",76,7.3
10348,Nehruviandoom,by Nehruviandoom,"October 7, 2014",67,7.3
10349,"And After That, We Didn't Talk",by GoldLink,"November 6, 2015",72,7.3
10350,All the Beauty in This Whole Life,by Brother Ali,"May 5, 2017",80,7.3
10351,Moh Lhean,by Why?,"March 3, 2017",76,7.3
10352,The  Appeal: Georgia's Most Wanted,by Gucci Mane,"September 28, 2010",64,7.3
10353,So Stylistic,by Fannypack,"July 8, 2003",78,7.3
